Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment
"R16"	,"CR0603JA0560G"	,"R0603"	,"12.564mm"	,"-10.16mm"	,"12.564mm"	,"-10.16mm"	,"11.811mm"	,"-10.16mm"	,"2"	,"T"	,"0"	,"Yes"	,"CR0603JA0560G_56Ω"	,
"C28"	,"CL10B104KC8NNNC"	,"C0603"	,"12.573mm"	,"-8.509mm"	,"12.573mm"	,"-8.509mm"	,"11.873mm"	,"-8.509mm"	,"2"	,"T"	,"0"	,"Yes"	,"CL10B104KC8NNNC_100nF"	,
"CN3"	,"X9821WVS-04-9TSN"	,"CONN-SMD_4P-P1.25_X9821WVS-04-9TSN"	,"44.45mm"	,"-11.303mm"	,"44.45mm"	,"-11.303mm"	,"46.325mm"	,"-12.728mm"	,"6"	,"T"	,"180"	,"Yes"	,"X9821WVS-04-9TSN"	,
"D13"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"37.592mm"	,"-10.541mm"	,"37.592mm"	,"-10.541mm"	,"37.592mm"	,"-11.745mm"	,"2"	,"T"	,"90"	,"Yes"	,"PESD5V0L1BA"	,
"D12"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"41.275mm"	,"-15.494mm"	,"41.275mm"	,"-15.494mm"	,"41.275mm"	,"-16.698mm"	,"2"	,"T"	,"90"	,"Yes"	,"PESD5V0L1BA"	,
"D4"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"35.433mm"	,"-6.858mm"	,"35.433mm"	,"-6.858mm"	,"36.637mm"	,"-6.858mm"	,"2"	,"T"	,"180"	,"Yes"	,"PESD5V0L1BA"	,
"D5"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"39.243mm"	,"-6.858mm"	,"39.243mm"	,"-6.858mm"	,"38.039mm"	,"-6.858mm"	,"2"	,"T"	,"0"	,"Yes"	,"PESD5V0L1BA"	,
"C39"	,"0603CG200G500NT"	,"C0603"	,"19.05mm"	,"-15.367mm"	,"19.05mm"	,"-15.367mm"	,"19.75mm"	,"-15.367mm"	,"2"	,"T"	,"180"	,"Yes"	,"0603CG200G500NT_20pF"	,
"C38"	,"0603CG200G500NT"	,"C0603"	,"16.002mm"	,"-18.034mm"	,"16.002mm"	,"-18.034mm"	,"16.002mm"	,"-17.334mm"	,"2"	,"T"	,"270"	,"Yes"	,"0603CG200G500NT_20pF"	,
"R21"	,"0603WAF1022T5E"	,"R0603"	,"45.085mm"	,"-16.637mm"	,"45.085mm"	,"-16.637mm"	,"44.332mm"	,"-16.637mm"	,"2"	,"T"	,"0"	,"Yes"	,"0603WAF1022T5E_10.2kΩ"	,
"C29"	,"GCM155R71C104KA55J"	,"C0402"	,"20.828mm"	,"-21.553mm"	,"20.828mm"	,"-21.553mm"	,"20.828mm"	,"-21.008mm"	,"2"	,"T"	,"270"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C30"	,"GCM155R71C104KA55J"	,"C0402"	,"23.876mm"	,"-13.589mm"	,"23.876mm"	,"-13.589mm"	,"23.331mm"	,"-13.589mm"	,"2"	,"T"	,"0"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C31"	,"GCM155R71C104KA55J"	,"C0402"	,"35.687mm"	,"-14.097mm"	,"35.687mm"	,"-14.097mm"	,"35.687mm"	,"-13.552mm"	,"2"	,"T"	,"270"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C32"	,"GCM155R71C104KA55J"	,"C0402"	,"34.29mm"	,"-26.162mm"	,"34.29mm"	,"-26.162mm"	,"34.29mm"	,"-26.707mm"	,"2"	,"T"	,"90"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C33"	,"GCM155R71C104KA55J"	,"C0402"	,"27.432mm"	,"-27.686mm"	,"27.432mm"	,"-27.686mm"	,"27.432mm"	,"-28.231mm"	,"2"	,"T"	,"90"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C34"	,"GRM188C81E475KE11D"	,"C0603"	,"36.449mm"	,"-24.765mm"	,"36.449mm"	,"-24.765mm"	,"37.149mm"	,"-24.765mm"	,"2"	,"T"	,"180"	,"Yes"	,"GRM188C81E475KE11D_4.7uF"	,
"C37"	,"0603F105M160NT"	,"C0603"	,"19.304mm"	,"-21.463mm"	,"19.304mm"	,"-21.463mm"	,"19.304mm"	,"-22.163mm"	,"2"	,"T"	,"90"	,"Yes"	,"0603F105M160NT_1uF"	,
"C35"	,"C0603C103K1RACAUTO"	,"C0603"	,"17.526mm"	,"-21.463mm"	,"17.526mm"	,"-21.463mm"	,"17.526mm"	,"-20.763mm"	,"2"	,"T"	,"270"	,"Yes"	,"C0603C103K1RACAUTO_10nF"	,
"U8"	,"BMI160"	,"LGA-14_L3.0-W2.5-P0.50-BL"	,"30.762mm"	,"-9.144mm"	,"30.762mm"	,"-9.144mm"	,"30.012mm"	,"-10.536mm"	,"14"	,"T"	,"0"	,"Yes"	,"BMI160"	,
"C36"	,"GCM155R71C104KA55J"	,"C0402"	,"31.496mm"	,"-5.461mm"	,"31.496mm"	,"-5.461mm"	,"30.951mm"	,"-5.461mm"	,"2"	,"T"	,"0"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"R17"	,"RTT03121JTP"	,"R0603"	,"30.734mm"	,"-7.62mm"	,"30.734mm"	,"-7.62mm"	,"31.487mm"	,"-7.62mm"	,"2"	,"B"	,"180"	,"Yes"	,"RTT03121JTP_120Ω"	,
"R18"	,"RTT03121JTP"	,"R0603"	,"30.734mm"	,"-9.144mm"	,"30.734mm"	,"-9.144mm"	,"31.487mm"	,"-9.144mm"	,"2"	,"B"	,"180"	,"Yes"	,"RTT03121JTP_120Ω"	,
"R19"	,"RTT03121JTP"	,"R0603"	,"30.734mm"	,"-10.668mm"	,"30.734mm"	,"-10.668mm"	,"31.487mm"	,"-10.668mm"	,"2"	,"B"	,"180"	,"Yes"	,"RTT03121JTP_120Ω"	,
"Q2"	,"AO3400"	,"SOT-23_L2.9-W1.3-P1.90-LS2.4-BR"	,"36.322mm"	,"-9.144mm"	,"36.322mm"	,"-9.144mm"	,"37.472mm"	,"-8.194mm"	,"3"	,"B"	,"0"	,"Yes"	,"AO3400"	,
"Q3"	,"PMBT3904,235"	,"SOT-23-3_L2.9-W1.3-P1.90-LS2.3-BR-1"	,"11.684mm"	,"-14.732mm"	,"11.684mm"	,"-14.732mm"	,"10.694mm"	,"-13.782mm"	,"3"	,"T"	,"180"	,"Yes"	,"PMBT3904,235"	,
"R22"	,"RS-03K512JT"	,"R0603"	,"14.995mm"	,"-14.732mm"	,"14.995mm"	,"-14.732mm"	,"14.241mm"	,"-14.732mm"	,"2"	,"T"	,"0"	,"Yes"	,"RS-03K512JT_5.1kΩ"	,
"CN2"	,"3110-08SG0BK00A1"	,"IDC-TH_3110-08SG0BK00A1"	,"5.08mm"	,"-20.32mm"	,"5.08mm"	,"-20.32mm"	,"3.81mm"	,"-16.51mm"	,"8"	,"T"	,"270"	,"No"	,"3110-08SG0BK00A1"	,
"D7"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"4.953mm"	,"-13.589mm"	,"4.953mm"	,"-13.589mm"	,"3.749mm"	,"-13.589mm"	,"2"	,"B"	,"0"	,"Yes"	,"PESD5V0L1BA"	,
"D6"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"1.651mm"	,"-17.907mm"	,"1.651mm"	,"-17.907mm"	,"1.651mm"	,"-19.111mm"	,"2"	,"B"	,"90"	,"Yes"	,"PESD5V0L1BA"	,
"D8"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"1.651mm"	,"-22.86mm"	,"1.651mm"	,"-22.86mm"	,"1.651mm"	,"-24.064mm"	,"2"	,"B"	,"90"	,"Yes"	,"PESD5V0L1BA"	,
"D9"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"2.54mm"	,"-27.305mm"	,"2.54mm"	,"-27.305mm"	,"2.54mm"	,"-28.509mm"	,"2"	,"B"	,"90"	,"Yes"	,"PESD5V0L1BA"	,
"D10"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"12.446mm"	,"-16.383mm"	,"12.446mm"	,"-16.383mm"	,"13.65mm"	,"-16.383mm"	,"2"	,"B"	,"180"	,"Yes"	,"PESD5V0L1BA"	,
"D11"	,"PESD5V0L1BA"	,"SOD-323_L1.7-W1.3-LS2.5-BI"	,"4.572mm"	,"-27.305mm"	,"4.572mm"	,"-27.305mm"	,"4.572mm"	,"-28.509mm"	,"2"	,"B"	,"90"	,"Yes"	,"PESD5V0L1BA"	,
"CN11"	,"XT30UPB-M"	,"CONN-TH_XT30UPB-M"	,"5.715mm"	,"-32.258mm"	,"5.715mm"	,"-32.258mm"	,"8.214mm"	,"-32.258mm"	,"2"	,"T"	,"180"	,"No"	,"XT30UPB-M"	,
"C12"	,"CA45-B-16V-47uF-K"	,"CAP-SMD_L3.5-W2.8-R-RD"	,"53.975mm"	,"-33.908mm"	,"53.975mm"	,"-33.909mm"	,"53.975mm"	,"-32.009mm"	,"2"	,"B"	,"90"	,"Yes"	,"CA45-B-16V-47uF-K_47uF"	,
"CN12"	,"XT30UPB-F"	,"CONN-TH_XT30UPB-F"	,"12.827mm"	,"-24.892mm"	,"12.827mm"	,"-24.892mm"	,"12.827mm"	,"-27.391mm"	,"2"	,"T"	,"90"	,"No"	,"XT30UPB-F"	,
"R20"	,"0805W8F0000T5E"	,"R0805"	,"21.844mm"	,"-37.719mm"	,"21.844mm"	,"-37.719mm"	,"20.878mm"	,"-37.719mm"	,"2"	,"B"	,"0"	,"Yes"	,"0805W8F0000T5E_0Ω"	,
"C40"	,"GCM155R71C104KA55J"	,"C0402"	,"45.249mm"	,"-14.859mm"	,"45.249mm"	,"-14.859mm"	,"44.704mm"	,"-14.859mm"	,"2"	,"B"	,"0"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C41"	,"GCM155R71C104KA55J"	,"C0402"	,"39.751mm"	,"-4.953mm"	,"39.751mm"	,"-4.953mm"	,"39.751mm"	,"-5.498mm"	,"2"	,"B"	,"90"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C42"	,"GCM155R71C104KA55J"	,"C0402"	,"7.747mm"	,"-17.944mm"	,"7.747mm"	,"-17.944mm"	,"7.747mm"	,"-17.399mm"	,"2"	,"B"	,"270"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C43"	,"GCM155R71C104KA55J"	,"C0402"	,"4.482mm"	,"-10.287mm"	,"4.482mm"	,"-10.287mm"	,"3.937mm"	,"-10.287mm"	,"2"	,"B"	,"0"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"R26"	,"SG73P1JTTD1002F"	,"R0603"	,"12.827mm"	,"-18.043mm"	,"12.827mm"	,"-18.043mm"	,"12.827mm"	,"-17.289mm"	,"2"	,"T"	,"270"	,"Yes"	,"SG73P1JTTD1002F_10kΩ"	,
"R27"	,"SG73P1JTTD1002F"	,"R0603"	,"14.351mm"	,"-18.034mm"	,"14.351mm"	,"-18.034mm"	,"14.351mm"	,"-17.281mm"	,"2"	,"T"	,"270"	,"Yes"	,"SG73P1JTTD1002F_10kΩ"	,
"CN13"	,"A1257WR-S-2P"	,"CONN-SMD_A1257WR-S-2P"	,"28.636mm"	,"-3.556mm"	,"28.636mm"	,"-3.556mm"	,"28.011mm"	,"-5.156mm"	,"4"	,"T"	,"180"	,"Yes"	,"A1257WR-S-2P"	,
"CN14"	,"A1257WR-S-2P"	,"CONN-SMD_A1257WR-S-2P"	,"19.812mm"	,"-3.556mm"	,"19.812mm"	,"-3.556mm"	,"19.187mm"	,"-5.156mm"	,"4"	,"T"	,"180"	,"Yes"	,"A1257WR-S-2P"	,
"U30"	,"GH1.25-4PWBPZ"	,"CONN-SMD_GH1.25-4PWBPZ"	,"38.608mm"	,"-3.156mm"	,"38.608mm"	,"-3.156mm"	,"36.733mm"	,"-4.757mm"	,"6"	,"T"	,"0"	,"Yes"	,"GH1.25-4PWBPZ"	,
"U24"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-26.67mm"	,"54.61mm"	,"-26.67mm"	,"57.15mm"	,"-26.67mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U25"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-24.13mm"	,"54.61mm"	,"-24.13mm"	,"57.15mm"	,"-24.13mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U26"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-21.59mm"	,"54.61mm"	,"-21.59mm"	,"57.15mm"	,"-21.59mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U27"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-19.05mm"	,"54.61mm"	,"-19.05mm"	,"57.15mm"	,"-19.05mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U28"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-16.51mm"	,"54.61mm"	,"-16.51mm"	,"57.15mm"	,"-16.51mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U29"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"54.61mm"	,"-13.97mm"	,"54.61mm"	,"-13.97mm"	,"57.15mm"	,"-13.97mm"	,"3"	,"T"	,"180"	,"No"	,"PH-00014"	,
"U5"	,"PH-00014"	,"HDR-TH_3P-P2.54-V-M"	,"5.08mm"	,"-8.509mm"	,"5.08mm"	,"-8.509mm"	,"2.54mm"	,"-8.509mm"	,"3"	,"T"	,"0"	,"No"	,"PH-00014"	,
"C24"	,"GCM155R71C104KA55J"	,"C0402"	,"4.826mm"	,"-4.318mm"	,"4.826mm"	,"-4.318mm"	,"4.281mm"	,"-4.318mm"	,"2"	,"T"	,"0"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"C25"	,"GCM155R71C104KA55J"	,"C0402"	,"54.926mm"	,"-4.445mm"	,"54.926mm"	,"-4.445mm"	,"54.381mm"	,"-4.445mm"	,"2"	,"T"	,"0"	,"Yes"	,"GCM155R71C104KA55J_100nF"	,
"SW1"	,"YD-3410"	,"SW-SMD_L3.9-W2.9-LS4.8-EH-A"	,"4.825mm"	,"-1.651mm"	,"4.826mm"	,"-1.651mm"	,"7.125mm"	,"-1.651mm"	,"2"	,"T"	,"180"	,"Yes"	,"YD-3410"	,
"SW2"	,"YD-3410"	,"SW-SMD_L3.9-W2.9-LS4.8-EH-A"	,"54.99mm"	,"-1.778mm"	,"54.991mm"	,"-1.778mm"	,"57.29mm"	,"-1.778mm"	,"2"	,"T"	,"180"	,"Yes"	,"YD-3410"	,
"U6"	,"TJA1042T/1J"	,"SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL"	,"18.415mm"	,"-10.795mm"	,"18.415mm"	,"-10.795mm"	,"21.12mm"	,"-12.7mm"	,"8"	,"T"	,"90"	,"Yes"	,"TJA1042T/1J"	,
"R23"	,"0603WAF2101T5E"	,"R0603"	,"33.401mm"	,"-29.337mm"	,"33.401mm"	,"-29.337mm"	,"33.401mm"	,"-30.09mm"	,"2"	,"T"	,"90"	,"Yes"	,"0603WAF2101T5E_2.1kΩ"	,
"R24"	,"0603WAF2101T5E"	,"R0603"	,"35.179mm"	,"-34.036mm"	,"35.179mm"	,"-34.036mm"	,"35.932mm"	,"-34.036mm"	,"2"	,"T"	,"180"	,"Yes"	,"0603WAF2101T5E_2.1kΩ"	,
"R25"	,"0603WAF2101T5E"	,"R0603"	,"31.623mm"	,"-31.623mm"	,"31.623mm"	,"-31.623mm"	,"31.623mm"	,"-32.376mm"	,"2"	,"T"	,"90"	,"Yes"	,"0603WAF2101T5E_2.1kΩ"	,
